Focal Document Element,Focal Document Element Description,Rationale,Relationship,Reference Document Element,Reference Document Element Description,Fulfilled By (Y/N),Group Identifier (optional),Comments (optional),Strength of Relationship (optional)
RESPONSE-3c,"Reporting of incidents is performed (for example, internal reporting, ICS-CERT, relevant ISACs), at least in an ad hoc manner",Semantic,intersects with,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",N,,,4
RESPONSE-3c,"Reporting of incidents is performed (for example, internal reporting, ICS-CERT, relevant ISACs), at least in an ad hoc manner",Semantic,intersects with,RS.CO-2,Incidents are reported consistent with established criteria,Y,RESPONSE-3c:G1,,7
RESPONSE-3c,"Reporting of incidents is performed (for example, internal reporting, ICS-CERT, relevant ISACs), at least in an ad hoc manner",Semantic,intersects with,RS.CO-3,Information is shared consistent with response plans,Y,RESPONSE-3c:G1,,7
RESPONSE-3c,"Reporting of incidents is performed (for example, internal reporting, ICS-CERT, relevant ISACs), at least in an ad hoc manner",Semantic,intersects with,RS.CO-4,Coordination with stakeholders occurs consistent with response plans,Y,RESPONSE-3c:G1,,6
RESPONSE-3c,"Reporting of incidents is performed (for example, internal reporting, ICS-CERT, relevant ISACs), at least in an ad hoc manner",Functional,intersects with,RS.CO-5,Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness,Y,RESPONSE-3c:G1,,7
RESPONSE-3d,Cybersecurity incident response plans that address all phases of the incident lifecycle are established and maintained,Semantic,subset of,PR.IP-9,Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,Y,,,8
RESPONSE-3d,Cybersecurity incident response plans that address all phases of the incident lifecycle are established and maintained,Semantic,intersects with,PR.IP-10,Response and recovery plans are tested,N,,,3
RESPONSE-3d,Cybersecurity incident response plans that address all phases of the incident lifecycle are established and maintained,Functional,intersects with,RS.AN-3,Forensics are performed,N,,,6
RESPONSE-3d,Cybersecurity incident response plans that address all phases of the incident lifecycle are established and maintained,Semantic,intersects with,RS.IM-2,Response strategies are updated,N,,,2
RESPONSE-3d,Cybersecurity incident response plans that address all phases of the incident lifecycle are established and maintained,Semantic,intersects with,RC.IM-1,Recovery plans incorporate lessons learned,N,,,3
RESPONSE-3e,Cybersecurity incident response is executed according to defined plans and procedures,Semantic,equal,RS.RP-1,Response plan is executed during or after an incident,Y,,,10
RESPONSE-3e,Cybersecurity incident response is executed according to defined plans and procedures,Semantic,intersects with,RS.CO-1,Personnel know their roles and order of operations when a response is needed,N,,,7
RESPONSE-3e,Cybersecurity incident response is executed according to defined plans and procedures,Semantic,intersects with,RS.CO-2,Incidents are reported consistent with established criteria,N,,,7
RESPONSE-3e,Cybersecurity incident response is executed according to defined plans and procedures,Semantic,intersects with,RS.CO-3,Information is shared consistent with response plans,N,,,7
RESPONSE-3e,Cybersecurity incident response is executed according to defined plans and procedures,Semantic,intersects with,RS.CO-4,Coordination with stakeholders occurs consistent with response plans,N,,,7
RESPONSE-3e,Cybersecurity incident response is executed according to defined plans and procedures,Semantic,intersects with,RS.AN-4,Incidents are categorized consistent with response plans,N,,,6
RESPONSE-3e,Cybersecurity incident response is executed according to defined plans and procedures,Semantic,intersects with,RS.MI-1,Incidents are contained,N,,,5
RESPONSE-3e,Cybersecurity incident response is executed according to defined plans and procedures,Semantic,intersects with,RS.MI-2,Incidents are mitigated,N,,,5
RESPONSE-3e,Cybersecurity incident response is executed according to defined plans and procedures,Semantic,intersects with,RC.RP-1,Recovery plan is executed during or after a cybersecurity incident,N,,,7
RESPONSE-3f,Cybersecurity incident response plans include a communications plan for internal and external stakeholders,Semantic,intersects with,RC.CO-1,Public relations are managed,N,,,6
RESPONSE-3f,Cybersecurity incident response plans include a communications plan for internal and external stakeholders,Functional,intersects with,RC.CO-2,Reputation is repaired after an incident,N,,,6
RESPONSE-3f,Cybersecurity incident response plans include a communications plan for internal and external stakeholders,Semantic,intersects with,RC.CO-3,Recovery activities are communicated to internal and external stakeholders as well as executive and management teams,N,,,8
RESPONSE-3g,"Cybersecurity incident response plan exercises are conducted periodically and according to defined triggers, such as system changes and external events",Semantic,intersects with,ID.SC-5,Response and recovery planning and testing are conducted with suppliers and third-party providers,N,,,6
RESPONSE-3g,"Cybersecurity incident response plan exercises are conducted periodically and according to defined triggers, such as system changes and external events",Functional,intersects with,PR.IP-7,Protection processes are improved,N,,,4
RESPONSE-3g,"Cybersecurity incident response plan exercises are conducted periodically and according to defined triggers, such as system changes and external events",Semantic,intersects with,PR.IP-10,Response and recovery plans are tested,N,,,8
RESPONSE-3g,"Cybersecurity incident response plan exercises are conducted periodically and according to defined triggers, such as system changes and external events",Semantic,intersects with,DE.DP-3,Detection processes are tested,N,,,6
RESPONSE-3h,"Cybersecurity incident lessons-learned activities are performed and corrective actions are taken, including updates to the incident response plan",Semantic,intersects with,PR.IP-7,Protection processes are improved,N,,,4
RESPONSE-3h,"Cybersecurity incident lessons-learned activities are performed and corrective actions are taken, including updates to the incident response plan",Semantic,intersects with,PR.IP-9,Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,N,,,8
RESPONSE-3h,"Cybersecurity incident lessons-learned activities are performed and corrective actions are taken, including updates to the incident response plan",Semantic,intersects with,DE.DP-5,Detection processes are continuously improved,N,,,3
RESPONSE-3h,"Cybersecurity incident lessons-learned activities are performed and corrective actions are taken, including updates to the incident response plan",Semantic,superset of,RS.IM-1,Response plans incorporate lessons learned,Y,RESPONSE-3h:G1,,8
RESPONSE-3h,"Cybersecurity incident lessons-learned activities are performed and corrective actions are taken, including updates to the incident response plan",Semantic,superset of,RS.IM-2,Response strategies are updated,Y,RESPONSE-3h:G1,,8
RESPONSE-3h,"Cybersecurity incident lessons-learned activities are performed and corrective actions are taken, including updates to the incident response plan",Semantic,intersects with,RC.IM-1,Recovery plans incorporate lessons learned,N,,,7
RESPONSE-3h,"Cybersecurity incident lessons-learned activities are performed and corrective actions are taken, including updates to the incident response plan",Semantic,intersects with,RC.IM-2,Recovery strategies are updated,N,,,7
RESPONSE-3i,"Cybersecurity incident root-cause analysis is performed and corrective actions are taken, including updates to the incident response plan",Semantic,intersects with,PR.IP-7,Protection processes are improved,N,,,4
RESPONSE-3i,"Cybersecurity incident root-cause analysis is performed and corrective actions are taken, including updates to the incident response plan",Semantic,intersects with,PR.IP-9,Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,N,,,8
RESPONSE-3i,"Cybersecurity incident root-cause analysis is performed and corrective actions are taken, including updates to the incident response plan",Semantic,intersects with,DE.AE-2,Detected events are analyzed to understand attack targets and methods,N,,,5
RESPONSE-3i,"Cybersecurity incident root-cause analysis is performed and corrective actions are taken, including updates to the incident response plan",Semantic,intersects with,DE.DP-5,Detection processes are continuously improved,N,,,3
RESPONSE-3i,"Cybersecurity incident root-cause analysis is performed and corrective actions are taken, including updates to the incident response plan",Semantic,intersects with,RS.RP-1,Response plan is executed during or after an incident,N,,,4
RESPONSE-3i,"Cybersecurity incident root-cause analysis is performed and corrective actions are taken, including updates to the incident response plan",Semantic,intersects with,RS.AN-1,Notifications from detection systems are investigated,N,,,3
RESPONSE-3i,"Cybersecurity incident root-cause analysis is performed and corrective actions are taken, including updates to the incident response plan",Semantic,intersects with,RS.AN-2,The impact of the incident is understood,N,,,7
RESPONSE-3i,"Cybersecurity incident root-cause analysis is performed and corrective actions are taken, including updates to the incident response plan",Semantic,intersects with,RS.AN-3,Forensics are performed,N,,,5
RESPONSE-3i,"Cybersecurity incident root-cause analysis is performed and corrective actions are taken, including updates to the incident response plan",Semantic,intersects with,RS.IM-1,Response plans incorporate lessons learned,N,,,8
RESPONSE-3i,"Cybersecurity incident root-cause analysis is performed and corrective actions are taken, including updates to the incident response plan",Semantic,intersects with,RS.IM-2,Response strategies are updated,N,,,8
RESPONSE-3i,"Cybersecurity incident root-cause analysis is performed and corrective actions are taken, including updates to the incident response plan",Semantic,intersects with,RC.IM-1,Recovery plans incorporate lessons learned,N,,,7
RESPONSE-3i,"Cybersecurity incident root-cause analysis is performed and corrective actions are taken, including updates to the incident response plan",Semantic,intersects with,RC.IM-2,Recovery strategies are updated,N,,,7
RESPONSE-3j,"Cybersecurity incident responses are coordinated with vendors, law enforcement, and other external entities as appropriate, including support for evidence collection and preservation",Semantic,intersects with,ID.SC-5,Response and recovery planning and testing are conducted with suppliers and third-party providers,N,,,4
RESPONSE-3j,"Cybersecurity incident responses are coordinated with vendors, law enforcement, and other external entities as appropriate, including support for evidence collection and preservation",Semantic,intersects with,DE.DP-4,Event detection information is communicated,N,,,3
RESPONSE-3j,"Cybersecurity incident responses are coordinated with vendors, law enforcement, and other external entities as appropriate, including support for evidence collection and preservation",Semantic,intersects with,RS.RP-1,Response plan is executed during or after an incident,N,,,6
RESPONSE-3j,"Cybersecurity incident responses are coordinated with vendors, law enforcement, and other external entities as appropriate, including support for evidence collection and preservation",Semantic,intersects with,RS.CO-3,Information is shared consistent with response plans,N,,,7
RESPONSE-3j,"Cybersecurity incident responses are coordinated with vendors, law enforcement, and other external entities as appropriate, including support for evidence collection and preservation",Semantic,intersects with,RS.CO-4,Coordination with stakeholders occurs consistent with response plans,N,,,7
RESPONSE-3j,"Cybersecurity incident responses are coordinated with vendors, law enforcement, and other external entities as appropriate, including support for evidence collection and preservation",Semantic,intersects with,RS.CO-5,Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness,N,,,7
RESPONSE-3j,"Cybersecurity incident responses are coordinated with vendors, law enforcement, and other external entities as appropriate, including support for evidence collection and preservation",Semantic,intersects with,RS.AN-3,Forensics are performed,N,,,7
RESPONSE-3j,"Cybersecurity incident responses are coordinated with vendors, law enforcement, and other external entities as appropriate, including support for evidence collection and preservation",Semantic,intersects with,RC.RP-1,Recovery plan is executed during or after a cybersecurity incident,N,,,5
RESPONSE-3j,"Cybersecurity incident responses are coordinated with vendors, law enforcement, and other external entities as appropriate, including support for evidence collection and preservation",Semantic,intersects with,RC.CO-3,Recovery activities are communicated to internal and external stakeholders as well as executive and management teams,N,,,6
RESPONSE-3k,Cybersecurity incident response personnel participate in joint cybersecurity exercises with other organizations,Semantic,intersects with,ID.SC-5,Response and recovery planning and testing are conducted with suppliers and third-party providers,N,,,6
RESPONSE-3k,Cybersecurity incident response personnel participate in joint cybersecurity exercises with other organizations,Semantic,intersects with,PR.IP-10,Response and recovery plans are tested,N,,,8
RESPONSE-3l,Cybersecurity incident responses leverage and trigger predefined states of operation (SITUATION-3g),Semantic,intersects with,PR.PT-5,"Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations",N,,,5
RESPONSE-4a,"Continuity plans are developed to sustain and restore operation of the function if a cybersecurity event or incident occurs, at least in an ad hoc manner",Semantic,intersects with,ID.BE-5,"Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations)",N,,,2
RESPONSE-4a,"Continuity plans are developed to sustain and restore operation of the function if a cybersecurity event or incident occurs, at least in an ad hoc manner",Semantic,subset of,PR.IP-9,Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,Y,,,7
RESPONSE-4a,"Continuity plans are developed to sustain and restore operation of the function if a cybersecurity event or incident occurs, at least in an ad hoc manner",Functional,intersects with,PR.PT-5,"Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations",N,,,5
RESPONSE-4a,"Continuity plans are developed to sustain and restore operation of the function if a cybersecurity event or incident occurs, at least in an ad hoc manner",Semantic,intersects with,RS.RP-1,Response plan is executed during or after an incident,N,,,8
RESPONSE-4a,"Continuity plans are developed to sustain and restore operation of the function if a cybersecurity event or incident occurs, at least in an ad hoc manner",Functional,intersects with,RC.RP-1,Recovery plan is executed during or after a cybersecurity incident,N,,,7
RESPONSE-4b,"Data backups are available and tested, at least in an ad hoc manner",Semantic,equal,PR.IP-4,"Backups of information are conducted, maintained, and tested",Y ,,,10
RESPONSE-4b,"Data backups are available and tested, at least in an ad hoc manner",Functional,intersects with,PR.DS-4,Adequate capacity to ensure availability is maintained,N,,,2
RESPONSE-4b,"Data backups are available and tested, at least in an ad hoc manner",Functional,intersects with,PR.PT-5,"Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations",N,,,5
RESPONSE-4c,"IT and OT assets requiring spares are identified, at least in an ad hoc manner",Functional,intersects with,PR.DS-4,Adequate capacity to ensure availability is maintained,N,,,6
RESPONSE-4c,"IT and OT assets requiring spares are identified, at least in an ad hoc manner",Functional,intersects with,PR.PT-5,"Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations",N,,,5
RESPONSE-4d,Continuity plans address potential impacts from cybersecurity incidents,Semantic,intersects with,ID.RA-4,Potential business impacts and likelihoods are identified,N,,,5
RESPONSE-4d,Continuity plans address potential impacts from cybersecurity incidents,Semantic,intersects with,PR.IP-9,Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,N,,,6
RESPONSE-4d,Continuity plans address potential impacts from cybersecurity incidents,Functional,intersects with,RS.AN-2,The impact of the incident is understood,N,,,4
RESPONSE-4d,Continuity plans address potential impacts from cybersecurity incidents,Semantic,intersects with,RS.IM-2,Response strategies are updated,N,,,6
RESPONSE-4d,Continuity plans address potential impacts from cybersecurity incidents,Semantic,intersects with,RC.IM-2,Recovery strategies are updated,N,,,6
RESPONSE-4e,The assets and activities necessary to sustain minimum operations of the function are identified and documented in continuity plans,Semantic,intersects with,ID.BE-4,Dependencies and critical functions for delivery of critical services are established,N,,,6
RESPONSE-4e,The assets and activities necessary to sustain minimum operations of the function are identified and documented in continuity plans,Semantic,intersects with,ID.BE-5,"Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations)",N,,,7
RESPONSE-4e,The assets and activities necessary to sustain minimum operations of the function are identified and documented in continuity plans,Functional,intersects with,PR.DS-4,Adequate capacity to ensure availability is maintained,N,,,4
RESPONSE-4e,The assets and activities necessary to sustain minimum operations of the function are identified and documented in continuity plans,Semantic,intersects with,PR.IP-9,Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,N,,,5
RESPONSE-4e,The assets and activities necessary to sustain minimum operations of the function are identified and documented in continuity plans,Functional,intersects with,PR.PT-5,"Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations",N,,,5
RESPONSE-4f,"Continuity plans address IT, OT, and information assets that are important to the delivery of the function, including the availability of backup data and replacement, redundant, and spare IT and OT assets",Semantic,intersects with,ID.BE-4,Dependencies and critical functions for delivery of critical services are established,N,,,3
RESPONSE-4f,"Continuity plans address IT, OT, and information assets that are important to the delivery of the function, including the availability of backup data and replacement, redundant, and spare IT and OT assets",Semantic,intersects with,ID.BE-5,"Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations)",N,,,5
RESPONSE-4f,"Continuity plans address IT, OT, and information assets that are important to the delivery of the function, including the availability of backup data and replacement, redundant, and spare IT and OT assets",Functional,intersects with,PR.DS-4,Adequate capacity to ensure availability is maintained,N,,,4
RESPONSE-4f,"Continuity plans address IT, OT, and information assets that are important to the delivery of the function, including the availability of backup data and replacement, redundant, and spare IT and OT assets",Semantic,intersects with,PR.IP-9,Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,N,,,7
RESPONSE-4f,"Continuity plans address IT, OT, and information assets that are important to the delivery of the function, including the availability of backup data and replacement, redundant, and spare IT and OT assets",Functional,intersects with,PR.PT-5,"Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations",N,,,5
RESPONSE-4g,Recovery time objectives (RTOs) and recovery point objectives (RPOs) for assets that are important to the delivery of the function are incorporated into continuity plans,Functional,intersects with,ID.BE-5,"Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations)",N,,,5
RESPONSE-4g,Recovery time objectives (RTOs) and recovery point objectives (RPOs) for assets that are important to the delivery of the function are incorporated into continuity plans,Functional,intersects with,ID.SC-5,Response and recovery planning and testing are conducted with suppliers and third-party providers,N,,,5
RESPONSE-4h,Cybersecurity incident criteria that trigger the execution of continuity plans are established and communicated to incident response and continuity management personnel,Semantic,intersects with,PR.IP-9,Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,N,,,8
RESPONSE-4h,Cybersecurity incident criteria that trigger the execution of continuity plans are established and communicated to incident response and continuity management personnel,Semantic,intersects with,DE.AE-5,Incident alert thresholds are established,N,,,6
RESPONSE-4h,Cybersecurity incident criteria that trigger the execution of continuity plans are established and communicated to incident response and continuity management personnel,Semantic,intersects with,RS.AN-2,The impact of the incident is understood,N,,,7
RESPONSE-4h,Cybersecurity incident criteria that trigger the execution of continuity plans are established and communicated to incident response and continuity management personnel,Semantic,intersects with,RS.AN-4,Incidents are categorized consistent with response plans,N,,,7
RESPONSE-4i,"Continuity plans are tested through evaluations and exercises periodically and according to defined triggers, such as system changes and external events",Semantic,intersects with,ID.SC-5,Response and recovery planning and testing are conducted with suppliers and third-party providers,N,,,7
RESPONSE-4i,"Continuity plans are tested through evaluations and exercises periodically and according to defined triggers, such as system changes and external events",Semantic,intersects with,PR.IP-9,Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,N,,,8
RESPONSE-4i,"Continuity plans are tested through evaluations and exercises periodically and according to defined triggers, such as system changes and external events",Semantic,intersects with,PR.IP-10,Response and recovery plans are tested,N,,,7
RESPONSE-4i,"Continuity plans are tested through evaluations and exercises periodically and according to defined triggers, such as system changes and external events",Functional,intersects with,PR.PT-5,"Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations",N,,,5
RESPONSE-4i,"Continuity plans are tested through evaluations and exercises periodically and according to defined triggers, such as system changes and external events",Functional,intersects with,RC.IM-1,Recovery plans incorporate lessons learned,N,,,5
RESPONSE-4j,Cybersecurity controls protecting backup data are equivalent to or more rigorous than controls protecting source data,Semantic,intersects with,PR.DS-1,Data-at-rest is protected,N,,,7
RESPONSE-4k,Data backups are logically or physically separated from source data,Semantic,intersects with,PR.DS-1,Data-at-rest is protected,N,,,7
RESPONSE-4l,Spares for selected IT and OT assets are available,Functional,intersects with,PR.DS-4,Adequate capacity to ensure availability is maintained,N,,,6
RESPONSE-4l,Spares for selected IT and OT assets are available,Functional,intersects with,PR.PT-5,"Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations",N,,,5
RESPONSE-4m,Continuity plans are aligned with identified risks and the organization's threat profile (THREAT-2e) to ensure coverage of identified risk categories and threats,,not related to,,,N,,,0
RESPONSE-4n,Continuity plan exercises address higher priority risks,Semantic,intersects with,PR.IP-10,Response and recovery plans are tested,N,,,6
RESPONSE-4o,"The results of continuity plan testing or activation are compared to recovery objectives, and plans are improved accordingly",Semantic,intersects with,PR.IP-9,Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,N,,,8
RESPONSE-4o,"The results of continuity plan testing or activation are compared to recovery objectives, and plans are improved accordingly",Semantic,intersects with,RS.IM-1,Response plans incorporate lessons learned,Y,RESPONSE-4o:G1,,7
RESPONSE-4o,"The results of continuity plan testing or activation are compared to recovery objectives, and plans are improved accordingly",Semantic,intersects with,RS.IM-2,Response strategies are updated,Y,RESPONSE-4o:G1,,7
RESPONSE-4o,"The results of continuity plan testing or activation are compared to recovery objectives, and plans are improved accordingly",Semantic,intersects with,RC.IM-1,Recovery plans incorporate lessons learned,Y,RESPONSE-4o:G1,,7
RESPONSE-4o,"The results of continuity plan testing or activation are compared to recovery objectives, and plans are improved accordingly",Semantic,intersects with,RC.IM-2,Recovery strategies are updated,Y,RESPONSE-4o:G1,,7
RESPONSE-4p,Continuity plans are periodically reviewed and updated,Semantic,subset of,PR.IP-9,Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,Y,,,7
RESPONSE-4p,Continuity plans are periodically reviewed and updated,Semantic,intersects with,RS.IM-1,Response plans incorporate lessons learned,N,,,8
RESPONSE-4p,Continuity plans are periodically reviewed and updated,Semantic,intersects with,RS.IM-2,Response strategies are updated,N,,,8
RESPONSE-4p,Continuity plans are periodically reviewed and updated,Semantic,intersects with,RC.IM-1,Recovery plans incorporate lessons learned,N,,,5
RESPONSE-4p,Continuity plans are periodically reviewed and updated,Functional,intersects with,RC.IM-2,Recovery strategies are updated,N,,,7
RESPONSE-5a,"Documented procedures are established, followed, and maintained for activities in the RESPONSE domain",Semantic,intersects with,PR.IP-9,Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,N,,,8
RESPONSE-5a,"Documented procedures are established, followed, and maintained for activities in the RESPONSE domain",Semantic,intersects with,RS.RP-1,Response plan is executed during or after an incident,N,,,7
RESPONSE-5a,"Documented procedures are established, followed, and maintained for activities in the RESPONSE domain",Semantic,intersects with,RS.IM-1,Response plans incorporate lessons learned,N,,,2
RESPONSE-5a,"Documented procedures are established, followed, and maintained for activities in the RESPONSE domain",Semantic,intersects with,RC.RP-1,Recovery plan is executed during or after a cybersecurity incident,N,,,5
RESPONSE-5a,"Documented procedures are established, followed, and maintained for activities in the RESPONSE domain",Semantic,intersects with,RC.IM-1,Recovery plans incorporate lessons learned,N,,,2
RESPONSE-5b,"Adequate resources (people, funding, and tools) are provided to support activities in the RESPONSE domain",,not related to,,,N,,,0
RESPONSE-5c,Up-to-date policies or other organizational directives define requirements for activities in the RESPONSE domain,Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,N,,,6
RESPONSE-5c,Up-to-date policies or other organizational directives define requirements for activities in the RESPONSE domain,Semantic,intersects with,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",N,,,3
RESPONSE-5c,Up-to-date policies or other organizational directives define requirements for activities in the RESPONSE domain,Semantic,intersects with,DE.DP-2,Detection activities comply with all applicable requirements,N,,,8
RESPONSE-5c,Up-to-date policies or other organizational directives define requirements for activities in the RESPONSE domain,Semantic,intersects with,RS.IM-2,Response strategies are updated,N,,,5
RESPONSE-5c,Up-to-date policies or other organizational directives define requirements for activities in the RESPONSE domain,Semantic,intersects with,RC.IM-2,Recovery strategies are updated,N,,,3
RESPONSE-5d,"Responsibility, accountability, and authority for the performance of activities in the RESPONSE domain are assigned to personnel",Semantic,intersects with,ID.AM-6,"Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",Y,RESPONSE-5d:G1,,5
RESPONSE-5d,"Responsibility, accountability, and authority for the performance of activities in the RESPONSE domain are assigned to personnel",Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,N,,,4
RESPONSE-5d,"Responsibility, accountability, and authority for the performance of activities in the RESPONSE domain are assigned to personnel",Semantic,intersects with,ID.GV-2,Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners,Y,RESPONSE-5d:G1,,7
RESPONSE-5d,"Responsibility, accountability, and authority for the performance of activities in the RESPONSE domain are assigned to personnel",Semantic,intersects with,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",Y,RESPONSE-5d:G1,,4
RESPONSE-5d,"Responsibility, accountability, and authority for the performance of activities in the RESPONSE domain are assigned to personnel",Semantic,intersects with,PR.AT-2,Privileged users understand their roles and responsibilities,Y,RESPONSE-5d:G1,,7
RESPONSE-5d,"Responsibility, accountability, and authority for the performance of activities in the RESPONSE domain are assigned to personnel",Functional,intersects with,PR.AT-3,"Third-party stakeholders (e.g., suppliers, customers, partners) understand their roles and responsibilities",Y,RESPONSE-5d:G1,,7
RESPONSE-5d,"Responsibility, accountability, and authority for the performance of activities in the RESPONSE domain are assigned to personnel",Functional,intersects with,PR.AT-4,Senior executives understand their roles and responsibilities,Y,RESPONSE-5d:G1,,7
RESPONSE-5d,"Responsibility, accountability, and authority for the performance of activities in the RESPONSE domain are assigned to personnel",Functional,intersects with,PR.AT-5,Physical and cybersecurity personnel understand their roles and responsibilities,Y,RESPONSE-5d:G1,,7
RESPONSE-5d,"Responsibility, accountability, and authority for the performance of activities in the RESPONSE domain are assigned to personnel",Semantic,intersects with,DE.DP-1,Roles and responsibilities for detection are well defined to ensure accountability,N,,,8
RESPONSE-5d,"Responsibility, accountability, and authority for the performance of activities in the RESPONSE domain are assigned to personnel",Semantic,intersects with,RS.CO-1,Personnel know their roles and order of operations when a response is needed,Y,RESPONSE-5d:G1,,6
RESPONSE-5e,Personnel performing activities in the RESPONSE domain have the skills and knowledge needed to perform their assigned responsibilities,Semantic,subset of,PR.AT-1,All users are informed and trained,Y,,,5
RESPONSE-5e,Personnel performing activities in the RESPONSE domain have the skills and knowledge needed to perform their assigned responsibilities,Semantic,intersects with,RS.CO-1,Personnel know their roles and order of operations when a response is needed,N,,,7
RESPONSE-5f,The effectiveness of activities in the RESPONSE domain is evaluated and tracked,Functional,intersects with,PR.IP-7,Protection processes are improved,N,,,4
RESPONSE-5f,The effectiveness of activities in the RESPONSE domain is evaluated and tracked,Semantic,intersects with,DE.DP-5,Detection processes are continuously improved,N,,,5
THIRD-PARTIES-1a,"Important IT and OT third-party dependencies are identified (that is, internal and external parties on which the delivery of the function depends, including operating partners), at least in an ad hoc manner",Functional,intersects with,ID.BE-1,The organization’s role in the supply chain is identified and communicated,N,,,6
THIRD-PARTIES-1a,"Important IT and OT third-party dependencies are identified (that is, internal and external parties on which the delivery of the function depends, including operating partners), at least in an ad hoc manner",Functional,intersects with,ID.BE-2,The organization’s place in critical infrastructure and its industry sector is identified and communicated,N,,,6
THIRD-PARTIES-1a,"Important IT and OT third-party dependencies are identified (that is, internal and external parties on which the delivery of the function depends, including operating partners), at least in an ad hoc manner",Semantic,intersects with,ID.BE-4,Dependencies and critical functions for delivery of critical services are established,N,,,6
THIRD-PARTIES-1a,"Important IT and OT third-party dependencies are identified (that is, internal and external parties on which the delivery of the function depends, including operating partners), at least in an ad hoc manner",Semantic,intersects with,ID.SC-2,"Suppliers and third party partners of information systems, components, and services are identified, prioritized, and assessed using a cyber supply chain risk assessment process",N,,,7
THIRD-PARTIES-1a,"Important IT and OT third-party dependencies are identified (that is, internal and external parties on which the delivery of the function depends, including operating partners), at least in an ad hoc manner",Functional,intersects with,PR.DS-4,Adequate capacity to ensure availability is maintained,N,,,2
THIRD-PARTIES-1b,"Third parties that have access to, control of, or custody of any IT, OT, or information assets that are important to the delivery of the function are identified, at least in an ad hoc manner",Semantic,intersects with,ID.SC-2,"Suppliers and third party partners of information systems, components, and services are identified, prioritized, and assessed using a cyber supply chain risk assessment process",N,,,7
THIRD-PARTIES-1c,A defined method is followed to identify risks arising from suppliers and other third parties,Semantic,intersects with,ID.RM-1,"Risk management processes are established, managed, and agreed to by organizational stakeholders",N,,,6
THIRD-PARTIES-1d,"Third parties are prioritized according to established criteria (for example, importance to the delivery of the function, impact of a compromise or disruption, ability to negotiate cybersecurity requirements within contracts)",Semantic,intersects with,ID.AM-5,"Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value",N ,,,4
THIRD-PARTIES-1d,"Third parties are prioritized according to established criteria (for example, importance to the delivery of the function, impact of a compromise or disruption, ability to negotiate cybersecurity requirements within contracts)",Semantic,intersects with,ID.SC-2,"Suppliers and third party partners of information systems, components, and services are identified, prioritized, and assessed using a cyber supply chain risk assessment process",N,,,7
